ledger_id,entry_date,vendor,description,amount,currency,reference,account,debit,credit
L0000,2026-07-18,"Lowe, Carr and Rhodes",Managed bifurcated utilization,5188.23,USD,8C839568,Expenses,5188.23,0.0
L0001,2026-07-25,Alvarez-Burton,Universal bi-directional success,11813.75,USD,13AEB750,Expenses,11813.75,0.0
L0002,2026-06-24,clark group,Synergized multi-state intranet,3112.41,USD,39394F67,Expenses,3112.41,0.0
L0003,2026-08-04,Clark Group,Synchronized actuating system engine,12633.13,USD,2A00C46F,Expenses,12633.13,0.0
L0005,2026-08-01,Alvarez-Burton,Reverse-engineered bottom-line projection,14734.09,USD,06518DF0,Expenses,14734.09,0.0
L0006,2026-07-14,"Fernandez, Mayo and Miller",Assimilated zero administration core,11762.63,USD,FABB2E15,Expenses,11762.63,0.0
L0007,2026-07-25,Chavez-Wilson,Team-oriented encompassing hub,5126.14,USD,06E4B49D,Expenses,5126.14,0.0
L0008,2026-08-13,Edwards-Carney,Grass-roots holistic superstructure,5664.78,USD,E8D40B26,Expenses,5664.78,0.0
L0009,2026-07-14,Conley-Cochran,Object-based secondary functionalities,5064.92,USD,E5C8EDD9,Expenses,5064.92,0.0
L0010,2026-07-24,Walton-Montgomery,Phased demand-driven application,5554.69,USD,7D3920D0,Expenses,5554.69,0.0
L0011,2026-08-13,"Reynolds, Meyers and Robertson",Switchable upward-trending product,14334.92,USD,C931B160,Expenses,14334.92,0.0
L0012,2026-07-02,Calderon Inc,Right-sized responsive orchestration,2544.87,USD,16977111,Expenses,2544.87,0.0
L0013,2026-06-30,Owens-Williams,Cross-group high-level paradigm,13266.45,USD,EFDF6FF1,Expenses,13266.45,0.0
L0014,2026-07-04,Bradley Inc,Integrated asynchronous service-desk,13083.45,USD,9879EA2D,Expenses,13083.45,0.0
L0015,2026-08-11,Lam and Sons,Mandatory regional groupware,11571.81,USD,48FF8469,Expenses,11571.81,0.0
L0016,2026-08-14,Foley-Hernandez,Public-key value-added alliance,13172.55,USD,70568117,Expenses,13172.55,0.0
